entry_id,parl_id,source_id,details,start_date,end_date,location,num_nights,rate,spouse,amount,source_pdf,source_pagenum
P37_ABBOTT_Tony_5_26,ABBOTT_Tony,P37_ABBOTT_Tony,"Sittings of Parliament",2015-10-19,2015-10-19,Canberra,1,273.00,0.00,273.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_27,ABBOTT_Tony,P37_ABBOTT_Tony,"Sittings of Parliament",2015-11-10,2015-11-11,Canberra,2,273.00,0.00,546.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_28,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-11-15,2015-11-16,Perth,2,472.00,0.00,944.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_29,ABBOTT_Tony,P37_ABBOTT_Tony,"Sittings of Parliament",2015-11-23,2015-11-25,Canberra,3,273.00,0.00,819.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_30,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-11-26,2015-11-27,Melbourne,2,438.00,0.00,876.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_31,ABBOTT_Tony,P37_ABBOTT_Tony,"Sittings of Parliament",2015-11-30,2015-12-03,Canberra,4,273.00,0.00,1092.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_32,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-12-07,2015-12-07,Canberra,1,273.00,0.00,273.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_33,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-12-14,2015-12-14,Canberra,1,273.00,0.00,273.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_34,ABBOTT_Tony,P37_ABBOTT_Tony,"Former Prime Minister - Official Business",2015-12-17,2015-12-17,Canberra,1,273.00,0.00,273.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_4,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-07-01,2015-07-01,Terrigal,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_5,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-07-03,2015-07-03,Warrnambool,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_6,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-07-09,2015-07-09,Broadbeach,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_7,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-07-10,2015-07-10,Brisbane,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_8,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-07-11,2015-07-11,Darwin,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABBOTT_Tony_5_9,ABBOTT_Tony,P37_ABBOTT_Tony,"Prime Minister",2015-07-30,2015-07-30,Melbourne,1,560.00,0.00,560.00,P37_ABBOTT_Tony.pdf,5
P37_ABETZ_Eric_5_10,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-09-08,2015-09-09,Canberra,2,273.00,0.00,546.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_11,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-09-13,2015-09-16,Canberra,4,273.00,0.00,1092.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_12,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-10-12,2015-10-14,Canberra,3,273.00,0.00,819.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_13,ABETZ_Eric,P37_ABETZ_Eric,"Senate Estimates",2015-10-19,2015-10-19,Canberra,1,273.00,0.00,273.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_14,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-11-09,2015-11-11,Canberra,3,273.00,0.00,819.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_15,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-11-24,2015-11-25,Canberra,2,273.00,0.00,546.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_16,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-11-30,2015-12-02,Canberra,3,273.00,0.00,819.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_17,ABETZ_Eric,P37_ABETZ_Eric,"Electorate Business",2015-12-07,2015-12-07,Sydney,1,397.00,0.00,397.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_4,ABETZ_Eric,P37_ABETZ_Eric,"Minister - Official Business",2015-07-13,2015-07-13,Canberra,1,271.00,0.00,271.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_5,ABETZ_Eric,P37_ABETZ_Eric,"Minister - Official Business",2015-07-30,2015-07-30,Canberra,1,271.00,0.00,271.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_6,ABETZ_Eric,P37_ABETZ_Eric,"Minister - Official Business",2015-08-03,2015-08-03,Adelaide,1,379.00,0.00,379.00,P37_ABETZ_Eric.pdf,5
P37_ABETZ_Eric_5_7,ABETZ_Eric,P37_ABETZ_Eric,"Sittings of Parliament",2015-08-09,2015-08-12,Canberra,4,271.00,0.00,1084.00,P37_ABETZ_Eric.pdf,5
